"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1004.5","1006.9","1005.6","2024/07/01 21:37:00","1002.7","2024/07/01 17:07:00","30.1","32.2","2024/07/01 11:03:00","27.9","2024/07/01 04:48:00","26.1","80","71","2024/07/01 09:01:00","5.5","220","13.4","260","2024/07/01 12:09:00","0.0","0.0","0.0","--","0.0","--","10.7","78.6","25.42","27.5","8.3","13","2024/07/01 13:00:00","7.8","7.9","30.2","30.2","29.6","29.4","29.9","28.9","27.3"
"02","1006.3","1008.7","1009.5","2024/07/02 22:27:00","1003.9","2024/07/02 02:16:00","29.9","32.7","2024/07/02 11:10:00","28.1","2024/07/02 05:11:00","25.7","78","69","2024/07/02 18:19:00","4.3","220","12.4","230","2024/07/02 11:35:00","0.0","0.0","0.0","--","0.0","--","9.1","66.9","22.15","20.0","6.6","14","2024/07/02 12:00:00","4.8","5.5","30.4","30.4","29.8","29.6","30.1","29.1","27.5"
"03","1010.9","1013.4","1012.9","2024/07/03 21:49:00","1008.2","2024/07/03 02:03:00","29.8","32.8","2024/07/03 13:23:00","26.2","2024/07/03 03:43:00","25.4","78","68","2024/07/03 07:15:00","1.9","300","6.4","290","2024/07/03 12:31:00","0.0","0.0","0.0","--","0.0","--","11.0","80.9","27.45","26.5","6.9","14","2024/07/03 13:00:00","3.3","3.9","30.7","30.7","29.9","29.6","30.2","29.2","27.6"
"04","1010.3","1012.7","1012.5","2024/07/04 00:02:00","1008.3","2024/07/04 23:57:00","30.3","33.0","2024/07/04 09:41:00","27.2","2024/07/04 04:26:00","25.2","75","62","2024/07/04 09:45:00","2.8","180","7.4","280","2024/07/04 12:41:00","0.0","0.0","0.0","--","0.0","--","13.2","97.1","29.11","30.0","8.3","14","2024/07/04 13:00:00","1.0","2.1","31.1","31.1","30.6","30.3","30.7","29.5","27.7"
"05","1007.3","1009.7","1008.8","2024/07/05 08:24:00","1005.6","2024/07/05 16:10:00","30.2","33.6","2024/07/05 12:05:00","27.2","2024/07/05 03:48:00","25.6","77","58","2024/07/05 12:04:00","2.7","170","8.4","280","2024/07/05 13:29:00","0.0","0.0","0.0","--","0.0","--","11.3","83.2","28.34","25.0","7.8","14","2024/07/05 12:00:00","3.8","4.3","31.3","31.3","30.8","30.5","31.0","29.8","27.9"
"06","1007.5","1009.9","1008.8","2024/07/06 22:51:00","1006.0","2024/07/06 03:20:00","29.9","33.0","2024/07/06 13:18:00","27.7","2024/07/06 05:10:00","26.1","80","67","2024/07/06 18:54:00","2.5","220","7.2","280","2024/07/06 11:05:00","0.0","0.0","0.0","--","0.0","--","12.6","92.8","29.33","20.0","8.1","14","2024/07/06 12:00:00","3.8","3.9","31.5","31.5","31.2","30.9","31.3","30.1","28.1"
"07","1008.2","1010.6","1009.3","2024/07/07 10:17:00","1007.0","2024/07/07 16:41:00","30.2","33.2","2024/07/07 13:28:00","27.0","2024/07/07 05:14:00","25.1","75","64","2024/07/07 10:20:00","2.9","240","8.6","230","2024/07/07 14:45:00","0.0","0.0","0.0","--","0.0","--","13.1","96.5","29.34","25.0","8.2","14","2024/07/07 13:00:00","2.8","2.9","31.5","31.5","31.1","31.0","31.5","30.3","28.3"
"08","1007.1","1009.6","1008.1","2024/07/08 10:04:00","1005.5","2024/07/08 16:00:00","29.0","33.4","2024/07/08 11:40:00","25.8","2024/07/08 23:33:00","23.4","72","54","2024/07/08 11:19:00","3.2","260","9.4","250","2024/07/08 14:59:00","T","0.4","T","2024/07/08 16:30:00","T","2024/07/08 16:30:00","9.4","69.3","23.83","24.0","-7.9","13","2024/07/08 12:00:00","4.8","5.1","30.6","30.6","30.7","30.7","31.4","30.4","28.5"
"09","1006.8","1009.3","1008.0","2024/07/09 09:38:00","1005.3","2024/07/09 02:21:00","29.1","32.5","2024/07/09 11:51:00","25.4","2024/07/09 05:04:00","23.6","72","62","2024/07/09 06:58:00","3.9","180","10.4","250","2024/07/09 11:10:00","0.0","0.0","0.0","--","0.0","--","13.0","95.9","29.91","23.0","6.8","14","2024/07/09 13:00:00","4.3","3.2","30.4","30.4","30.3","30.2","31.0","30.2","28.6"
"10","1006.6","1009.1","1008.3","2024/07/10 08:56:00","1005.4","2024/07/10 18:10:00","29.6","32.4","2024/07/10 12:08:00","27.1","2024/07/10 01:12:00","25.5","79","70","2024/07/10 12:17:00","4.2","260","12.6","260","2024/07/10 12:38:00","0.0","0.0","0.0","--","0.0","--","9.9","73.1","25.88","18.3","7.3","14","2024/07/10 12:00:00","7.0","6.9","30.9","30.9","30.7","30.5","31.2","30.3","28.7"
"11","1004.3","1006.8","1005.8","2024/07/11 00:13:00","1003.0","2024/07/11 17:43:00","29.9","32.6","2024/07/11 11:04:00","26.8","2024/07/11 05:32:00","25.2","76","68","2024/07/11 10:58:00","5.8","230","15.1","260","2024/07/11 13:10:00","0.0","0.0","0.0","--","0.0","--","12.7","93.9","28.07","27.5","9.0","14","2024/07/11 12:00:00","7.8","7.6","30.8","30.8","30.6","30.5","31.2","30.3","28.8"
"12","1002.7","1005.1","1003.6","2024/07/12 06:54:00","1001.5","2024/07/12 16:33:00","30.3","32.6","2024/07/12 13:31:00","28.5","2024/07/12 23:45:00","25.7","76","69","2024/07/12 15:01:00","6.2","230","14.8","240","2024/07/12 08:31:00","0.0","0.0","0.0","--","0.0","--","11.5","85.1","28.48","35.0","8.0","14","2024/07/12 12:00:00","6.8","7.6","31.1","31.1","30.8","30.6","31.3","30.3","28.9"
"13","1003.9","1006.3","1005.8","2024/07/13 22:02:00","1001.6","2024/07/13 02:06:00","30.4","32.9","2024/07/13 11:38:00","28.3","2024/07/13 03:06:00","25.5","76","67","2024/07/13 12:15:00","4.5","220","12.1","250","2024/07/13 09:35:00","0.0","0.0","0.0","--","0.0","--","12.2","90.3","28.65","30.0","8.0","14","2024/07/13 12:00:00","6.0","7.6","31.5","31.5","31.1","30.9","31.5","30.4","29.0"
"14","1006.6","1009.0","1007.8","2024/07/14 22:20:00","1005.1","2024/07/14 00:59:00","30.5","34.3","2024/07/14 14:31:00","27.0","2024/07/14 04:26:00","24.7","72","53","2024/07/14 14:31:00","1.9","40","7.4","60","2024/07/14 15:02:00","0.0","0.0","0.0","--","0.0","--","12.2","90.4","28.36","35.0","8.4","14","2024/07/14 12:00:00","5.0","6.0","31.5","31.5","31.3","31.1","31.7","30.6","29.0"
"15","1007.3","1009.7","1009.1","2024/07/15 06:46:00","1004.8","2024/07/15 17:42:00","30.5","33.1","2024/07/15 12:34:00","27.8","2024/07/15 05:18:00","26.2","78","64","2024/07/15 15:21:00","3.1","220","8.0","360","2024/07/15 14:54:00","0.0","0.0","0.0","--","0.0","--","10.7","79.4","25.44","30.0","6.7","13","2024/07/15 13:00:00","7.3","9.5","31.9","31.9","31.6","31.4","32.0","30.8","29.2"
"16","1007.9","1010.3","1009.4","2024/07/16 22:35:00","1006.6","2024/07/16 17:06:00","30.3","32.6","2024/07/16 12:52:00","28.3","2024/07/16 05:49:00","25.9","78","59","2024/07/16 20:52:00","2.5","240","7.5","290","2024/07/16 11:47:00","0.0","0.0","0.0","--","0.0","--","11.2","83.2","28.09","27.5","7.1","13","2024/07/16 12:00:00","3.5","5.5","32.1","32.1","31.9","31.7","32.2","31.0","29.3"
"17","1008.4","1010.9","1009.5","2024/07/17 19:52:00","1006.9","2024/07/17 17:00:00","30.3","33.0","2024/07/17 11:54:00","27.0","2024/07/17 05:03:00","24.9","73","63","2024/07/17 10:50:00","2.3","320","7.2","340","2024/07/17 13:19:00","0.0","0.0","0.0","--","0.0","--","12.0","89.2","27.31","20.0","7.4","13","2024/07/17 13:00:00","2.0","3.8","32.0","32.0","31.8","31.6","32.3","31.2","29.4"
"18","1008.2","1010.6","1009.4","2024/07/18 08:56:00","1007.0","2024/07/18 15:26:00","30.5","33.7","2024/07/18 12:22:00","27.6","2024/07/18 04:48:00","25.6","76","56","2024/07/18 11:02:00","2.7","290","7.2","290","2024/07/18 10:02:00","0.0","0.0","0.0","--","0.0","--","12.8","95.2","28.43","25.0","7.2","14","2024/07/18 13:00:00","2.5","3.0","32.3","32.3","32.0","31.8","32.5","31.3","29.5"
"19","1006.7","1009.2","1008.1","2024/07/19 00:01:00","1005.5","2024/07/19 16:31:00","30.3","32.9","2024/07/19 11:21:00","27.8","2024/07/19 04:41:00","26.4","80","72","2024/07/19 11:21:00","2.3","320","8.1","320","2024/07/19 11:44:00","0.0","0.0","0.0","--","0.0","--","5.5","41.0","17.50","19.5","4.4","11","2024/07/19 12:00:00","5.8","5.3","31.7","31.7","31.7","31.7","32.4","31.4","29.6"
"20","1006.7","1009.1","1007.8","2024/07/20 09:36:00","1005.2","2024/07/20 03:45:00","30.6","33.3","2024/07/20 12:55:00","27.6","2024/07/20 04:46:00","25.9","77","65","2024/07/20 13:26:00","2.0","300","7.3","300","2024/07/20 12:44:00","0.0","0.0","0.0","--","0.0","--","9.8","73.1","25.36","21.8","6.5","13","2024/07/20 13:00:00","7.0","6.2","32.0","32.0","31.6","31.5","32.2","31.2","29.7"
