"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1014.8","1017.3","1016.4","2025/11/01 08:14:00","1012.9","2025/11/01 15:34:00","23.4","25.5","2025/11/01 09:54:00","21.0","2025/11/01 23:10:00","17.4","69","62","2025/11/01 08:16:00","7.1","60","15.8","40","2025/11/01 12:23:00","T","1.0","T","2025/11/01 20:43:00","T","2025/11/01 20:43:00","2.0","18.0","10.74","15.0","-2.5","5","2025/11/01 11:00:00","9.0","10.0","22.0","22.7","23.6","23.8","24.6","24.8","25.3"
"02","1016.5","1019.0","1018.1","2025/11/02 20:27:00","1014.9","2025/11/02 01:09:00","22.0","25.4","2025/11/02 13:40:00","20.0","2025/11/02 05:56:00","17.5","76","57","2025/11/02 13:52:00","5.9","70","16.7","60","2025/11/02 17:22:00","1.0","4.6","0.5","2025/11/02 04:30:00","0.5","2025/11/02 04:30:00","1.5","13.6","11.21","14.0","-3.6","4","2025/11/02 13:00:00","9.3","10.0","21.7","22.3","23.2","23.4","24.3","24.6","25.4"
"03","1017.5","1020.0","1019.5","2025/11/03 09:18:00","1015.5","2025/11/03 23:59:00","20.7","22.6","2025/11/03 01:22:00","18.9","2025/11/03 06:38:00","17.7","83","64","2025/11/03 00:10:00","8.0","60","17.8","50","2025/11/03 15:49:00","1.0","4.3","0.5","2025/11/03 06:15:00","0.5","2025/11/03 06:15:00","0.6","5.4","7.01","14.0","-0.9","4","2025/11/03 13:00:00","10.0","10.0","21.0","21.7","22.6","22.9","24.0","24.4","25.5"
"04","1014.2","1016.7","1015.9","2025/11/04 09:05:00","1012.3","2025/11/04 13:35:00","21.5","24.3","2025/11/04 13:09:00","19.9","2025/11/04 02:13:00","19.5","88","78","2025/11/04 12:17:00","8.1","50","18.1","50","2025/11/04 10:12:00","1.5","3.6","0.5","2025/11/04 17:48:00","1.5","2025/11/04 17:48:00","0.1","0.9","7.12","22.5","-1.4","4","2025/11/04 13:00:00","9.8","9.9","21.5","21.8","22.6","22.8","23.6","24.1","25.4"
"05","1011.4","1013.9","1013.2","2025/11/05 07:56:00","1009.3","2025/11/05 15:21:00","23.5","27.0","2025/11/05 11:45:00","20.6","2025/11/05 00:23:00","20.3","82","66","2025/11/05 11:32:00","7.4","60","17.9","60","2025/11/05 15:54:00","0.5","0.6","0.5","2025/11/05 08:03:00","0.5","2025/11/05 08:03:00","7.6","69.1","16.44","27.5","3.7","7","2025/11/05 12:00:00","6.0","5.7","22.3","22.4","23.1","23.1","23.6","24.0","25.3"
"06","1011.4","1013.9","1012.5","2025/11/06 20:40:00","1010.0","2025/11/06 13:50:00","25.2","28.7","2025/11/06 13:50:00","22.8","2025/11/06 05:21:00","20.4","75","60","2025/11/06 11:12:00","7.6","60","17.3","50","2025/11/06 09:44:00","0.0","0.0","0.0","--","0.0","--","10.4","94.7","18.31","30.0","4.5","6","2025/11/06 12:00:00","2.3","0.8","23.0","23.1","23.7","23.7","24.0","24.1","25.2"
"07","1012.9","1015.4","1014.3","2025/11/07 08:56:00","1011.6","2025/11/07 14:43:00","26.0","29.6","2025/11/07 09:55:00","23.4","2025/11/07 05:56:00","21.8","78","58","2025/11/07 09:45:00","5.7","50","14.1","40","2025/11/07 15:23:00","0.0","0.0","0.0","--","0.0","--","10.5","95.7","18.09","31.3","5.1","7","2025/11/07 12:00:00","0.8","0.8","24.5","24.1","24.7","24.4","24.4","24.3","25.2"
"08","1012.1","1014.6","1014.1","2025/11/08 08:48:00","1010.1","2025/11/08 13:37:00","25.7","28.2","2025/11/08 10:53:00","24.2","2025/11/08 05:59:00","21.7","79","67","2025/11/08 13:48:00","5.9","50","14.4","60","2025/11/08 09:48:00","0.0","0.0","0.0","--","0.0","--","10.2","93.2","17.70","22.5","4.3","6","2025/11/08 12:00:00","1.0","1.0","24.6","24.4","25.0","24.8","24.8","24.6","25.2"
"09","1008.6","1011.1","1011.8","2025/11/09 00:01:00","1006.2","2025/11/09 15:29:00","25.7","30.7","2025/11/09 11:29:00","23.9","2025/11/09 22:50:00","21.9","81","50","2025/11/09 11:19:00","10.8","50","23.1","60","2025/11/09 19:19:00","0.0","0.0","0.0","--","0.0","--","9.6","87.8","17.86","30.0","-6.4","7","2025/11/09 12:00:00","2.8","4.6","24.6","24.5","25.2","25.0","25.1","24.9","25.3"
