"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","能見度_自動(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","VisbMean Auto","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1012.1","1014.7","1014.7","2025/12/01 08:14:00","1010.4","2025/12/01 14:50:00","21.0","24.2","2025/12/01 13:23:00","16.8","2025/12/01 07:12:00","19.2","89","68","2025/12/01 11:48:00","3.1","40","9.2","60","2025/12/01 17:10:00","9.0","2.1","6.0","2025/12/01 06:58:00","8.0","2025/12/01 06:21:00","7.1","66.8","14.28","13.5","--","-3.1","5","2025/12/01 12:00:00","4.8","4.8","20.7","20.4","20.9","20.8","21.1","21.3","22.8"
"02","1013.0","1015.5","1015.0","2025/12/02 23:05:00","1011.2","2025/12/02 00:01:00","21.6","23.7","2025/12/02 11:45:00","20.4","2025/12/02 02:44:00","18.3","82","72","2025/12/02 13:54:00","6.6","40","16.4","40","2025/12/02 23:30:00","0.5","0.9","0.5","2025/12/02 03:03:00","0.5","2025/12/02 03:03:00","7.1","66.9","14.22","16.0","--","-2.6","5","2025/12/02 12:00:00","6.8","4.8","20.8","21.0","21.5","21.5","21.7","21.7","22.8"
"03","1019.5","1022.1","1021.7","2025/12/03 20:19:00","1014.8","2025/12/03 00:02:00","18.2","20.6","2025/12/03 00:01:00","16.4","2025/12/03 23:57:00","12.3","69","57","2025/12/03 21:26:00","9.7","50","18.5","50","2025/12/03 18:37:00","T","2.2","T","2025/12/03 03:21:00","T","2025/12/03 03:21:00","0.0","0.0","2.95","12.0","--","-4.3","1","2025/12/03 13:00:00","10.0","9.9","18.4","19.3","20.2","20.5","21.5","21.7","22.9"
"04","1019.5","1022.1","1021.3","2025/12/04 00:01:00","1017.0","2025/12/04 14:22:00","18.2","20.6","2025/12/04 14:31:00","16.1","2025/12/04 01:00:00","10.4","60","52","2025/12/04 09:21:00","8.1","60","19.0","50","2025/12/04 00:26:00","0.0","0.0","0.0","--","0.0","--","4.1","38.7","11.27","16.0","--","4.2","4","2025/12/04 11:00:00","6.3","8.0","17.3","17.8","18.7","19.0","20.5","21.2","22.9"
"05","1018.7","1021.3","1020.5","2025/12/05 08:49:00","1016.9","2025/12/05 14:14:00","18.9","21.3","2025/12/05 12:12:00","17.6","2025/12/05 03:56:00","13.1","69","59","2025/12/05 13:37:00","7.7","60","17.3","40","2025/12/05 11:34:00","0.0","0.0","0.0","--","0.0","--","6.9","65.2","15.11","27.5","--","4.0","5","2025/12/05 12:00:00","6.3","7.3","18.1","18.4","19.1","19.2","20.2","20.8","22.7"
"06","1016.9","1019.5","1019.5","2025/12/06 09:09:00","1014.9","2025/12/06 16:42:00","19.8","21.9","2025/12/06 11:51:00","16.3","2025/12/06 02:49:00","14.7","73","61","2025/12/06 11:53:00","6.6","50","17.4","40","2025/12/06 13:22:00","0.0","0.0","0.0","--","0.0","--","8.2","77.5","14.53","30.0","--","4.5","5","2025/12/06 12:00:00","3.0","3.8","18.8","18.8","19.5","19.5","20.3","20.7","22.5"
"07","1015.7","1018.2","1017.0","2025/12/07 21:59:00","1013.9","2025/12/07 13:59:00","22.0","26.6","2025/12/07 12:51:00","18.1","2025/12/07 22:46:00","15.2","66","47","2025/12/07 13:46:00","4.3","60","13.2","80","2025/12/07 10:22:00","0.0","0.0","0.0","--","0.0","--","10.0","94.6","15.98","37.5","--","2.8","5","2025/12/07 12:00:00","0.3","1.5","19.8","19.7","20.2","20.2","20.6","20.8","22.4"
"08","1017.8","1020.4","1020.4","2025/12/08 09:53:00","1015.3","2025/12/08 00:26:00","20.7","22.8","2025/12/08 12:25:00","17.3","2025/12/08 00:20:00","16.4","77","61","2025/12/08 13:32:00","8.3","50","19.5","50","2025/12/08 20:27:00","T","0.2","T","2025/12/08 21:21:00","T","2025/12/08 21:21:00","5.2","49.2","12.15","27.5","--","-3.7","4","2025/12/08 13:00:00","6.8","6.4","19.8","19.9","20.5","20.4","20.9","21.0","22.4"
"09","1017.2","1019.8","1019.5","2025/12/09 07:54:00","1015.1","2025/12/09 13:20:00","19.5","22.7","2025/12/09 13:44:00","17.3","2025/12/09 07:50:00","17.0","86","69","2025/12/09 12:59:00","8.3","50","18.9","40","2025/12/09 03:53:00","5.5","7.5","0.5","2025/12/09 02:24:00","1.5","2025/12/09 07:13:00","6.4","60.6","12.73","21.3","--","-3.2","5","2025/12/09 12:00:00","5.0","5.3","19.2","19.5","20.2","20.3","20.9","21.2","22.4"
