"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度_自動(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean Auto","EvapA","UVI Max","UVI Max Time","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1016.3","1018.9","1019.8","2026/01/01 22:36:00","1013.3","2026/01/01 03:31:00","15.2","16.4","2026/01/01 13:52:00","13.9","2026/01/01 21:20:00","13.0","87","72","2026/01/01 15:22:00","8.3","45","16.9","35","2026/01/01 01:41:00","5.5","10.1","1.0","2026/01/01 20:48:00","2.5","2026/01/01 20:38:00","0.0","0.0","9.05","22.7","-1.3","1","2026/01/01 14:00:00","9.9","16.2","16.8","17.6","17.8","18.9","19.4","20.9"
"02","1023.1","1025.8","1025.5","2026/01/02 20:56:00","1019.5","2026/01/02 00:01:00","12.1","14.6","2026/01/02 00:01:00","10.9","2026/01/02 14:57:00","7.2","72","57","2026/01/02 22:42:00","8.9","51","17.6","42","2026/01/02 14:33:00","1.5","5.3","0.5","2026/01/02 01:45:00","0.5","2026/01/02 01:45:00","0.0","0.0","8.54","32.0","2.5","1","2026/01/02 12:00:00","9.5","14.0","15.0","16.0","16.4","18.2","18.9","20.7"
"03","1022.5","1025.1","1025.0","2026/01/03 00:10:00","1020.6","2026/01/03 15:05:00","14.2","17.4","2026/01/03 13:55:00","11.1","2026/01/03 02:06:00","7.1","63","52","2026/01/03 10:11:00","7.9","55","19.1","41","2026/01/03 13:38:00","0.0","0.0","0.0","--","0.0","--","9.8","92.6","21.90","67.1","-3.1","5","2026/01/03 12:00:00","4.5","14.0","14.5","15.3","15.6","17.2","18.2","20.5"
"04","1019.0","1021.6","1021.3","2026/01/04 09:15:00","1017.1","2026/01/04 15:46:00","14.8","19.2","2026/01/04 13:35:00","9.6","2026/01/04 06:12:00","10.0","74","49","2026/01/04 12:35:00","2.0","266","8.2","71","2026/01/04 00:01:00","0.0","0.0","0.0","--","0.0","--","10.1","95.3","22.58","54.5","-1.9","5","2026/01/04 13:00:00","1.1","14.9","15.2","15.8","16.0","17.1","17.8","20.2"
"05","1018.8","1021.4","1021.4","2026/01/05 23:52:00","1016.9","2026/01/05 03:27:00","15.6","18.8","2026/01/05 11:12:00","12.6","2026/01/05 00:50:00","12.5","82","72","2026/01/05 11:26:00","4.8","44","15.1","44","2026/01/05 22:20:00","T","0.3","T","2026/01/05 07:22:00","T","2026/01/05 07:22:00","1.3","12.3","0.80","32.2","-2.8","4","2026/01/05 12:00:00","6.7","15.6","15.8","16.4","16.4","17.3","17.8","19.9"
"06","1021.6","1024.2","1023.2","2026/01/06 22:05:00","1019.7","2026/01/06 15:13:00","13.0","14.7","2026/01/06 09:37:00","11.9","2026/01/06 17:47:00","7.8","71","60","2026/01/06 22:18:00","6.1","44","15.7","40","2026/01/06 03:34:00","T","1.0","T","2026/01/06 00:03:00","T","2026/01/06 00:03:00","0.0","0.0","0.00","21.6","2.3","1","2026/01/06 10:00:00","9.8","14.5","15.2","16.0","16.2","17.4","17.9","19.8"
"07","1022.6","1025.2","1024.8","2026/01/07 09:32:00","1020.9","2026/01/07 14:42:00","12.5","13.6","2026/01/07 23:54:00","11.7","2026/01/07 06:48:00","4.3","57","51","2026/01/07 03:04:00","7.3","59","15.9","45","2026/01/07 14:40:00","0.0","0.0","0.0","--","0.0","--","1.9","17.9","0.33","28.8","3.3","3","2026/01/07 12:00:00","9.0","13.5","14.2","15.1","15.4","16.8","17.6","19.7"
"08","1023.3","1025.9","1025.3","2026/01/08 09:44:00","1021.5","2026/01/08 02:42:00","13.3","15.2","2026/01/08 12:51:00","10.9","2026/01/08 23:27:00","4.6","56","48","2026/01/08 15:45:00","7.4","49","15.9","43","2026/01/08 14:51:00","0.0","0.0","0.0","--","0.0","--","3.4","32.0","9.88","37.8","3.2","4","2026/01/08 13:00:00","6.8","13.6","14.2","15.0","15.2","16.6","17.3","19.5"
"09","1020.4","1023.1","1022.9","2026/01/09 00:01:00","1017.6","2026/01/09 14:38:00","13.1","16.7","2026/01/09 13:42:00","9.9","2026/01/09 23:59:00","5.7","62","47","2026/01/09 09:23:00","5.1","40","14.4","45","2026/01/09 10:40:00","0.0","0.0","0.0","--","0.0","--","8.9","83.7","15.81","38.5","4.3","5","2026/01/09 13:00:00","3.6","13.6","14.1","14.8","15.0","16.3","17.1","19.3"
