"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean Auto","EvapA","UVI Max","UVI Max Time","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1021.4","1024.0","1022.8","2026/02/01 09:41:00","1019.2","2026/02/01 16:52:00","14.1","15.7","2026/02/01 18:20:00","13.2","2026/02/01 02:29:00","12.5","90","81","2026/02/01 18:35:00","8.7","47","18.0","45","2026/02/01 09:53:00","4.5","12.0","0.5","2026/02/01 01:08:00","1.0","2026/02/01 12:02:00","0.0","0.0","3.22","26.4","/","1","2026/02/01 14:00:00","10.0","15.3","15.7","16.4","16.6","17.6","17.9","18.7"
"02","1023.1","1025.7","1024.6","2026/02/02 20:16:00","1021.7","2026/02/02 03:19:00","13.9","14.6","2026/02/02 02:56:00","12.9","2026/02/02 11:35:00","11.7","87","74","2026/02/02 23:00:00","8.8","48","19.6","49","2026/02/02 18:55:00","2.0","9.4","0.5","2026/02/02 00:15:00","1.0","2026/02/02 00:15:00","0.0","0.0","1.76","11.3","2.1","1","2026/02/02 14:00:00","9.8","14.8","15.2","16.0","16.1","17.2","17.6","18.7"
"03","1021.4","1024.0","1024.1","2026/02/03 00:01:00","1019.1","2026/02/03 15:33:00","17.0","20.8","2026/02/03 14:10:00","14.4","2026/02/03 00:05:00","11.1","69","56","2026/02/03 11:58:00","7.2","56","19.0","58","2026/02/03 01:25:00","0.0","0.0","0.0","--","0.0","--","9.3","84.4","18.07","30.2","-3.4","6","2026/02/03 13:00:00","5.7","15.3","15.4","16.1","16.1","16.8","17.2","18.6"
"04","1017.3","1019.9","1019.5","2026/02/04 06:51:00","1015.1","2026/02/04 23:11:00","16.3","20.1","2026/02/04 11:34:00","12.8","2026/02/04 06:33:00","14.5","89","72","2026/02/04 09:36:00","2.1","44","8.3","38","2026/02/04 14:41:00","0.0","0.0","0.0","--","0.0","--","5.9","53.5","14.12","18.6","2.1","5","2026/02/04 12:00:00","5.5","16.3","16.3","16.8","16.8","17.1","17.3","18.5"
"05","1014.6","1017.2","1016.9","2026/02/05 09:01:00","1012.0","2026/02/05 14:41:00","19.6","25.1","2026/02/05 13:22:00","16.4","2026/02/05 00:53:00","15.7","80","49","2026/02/05 13:55:00","1.6","247","6.2","243","2026/02/05 13:38:00","T","0.1","T","2026/02/05 07:10:00","T","2026/02/05 07:10:00","2.0","18.1","10.38","28.5","-2.4","5","2026/02/05 14:00:00","8.1","17.9","17.6","18.0","17.9","17.7","17.5","18.4"
"06","1014.2","1016.8","1016.4","2026/02/06 23:31:00","1012.3","2026/02/06 15:00:00","17.8","20.9","2026/02/06 09:21:00","15.8","2026/02/06 00:00:00","16.5","92","77","2026/02/06 01:50:00","3.7","32","11.1","47","2026/02/06 19:28:00","1.0","2.6","0.5","2026/02/06 10:02:00","0.5","2026/02/06 10:02:00","0.4","3.6","5.28","9.4","-0.5","2","2026/02/06 12:00:00","9.1","18.1","18.1","18.6","18.5","18.4","18.1","18.4"
"07","1019.8","1022.4","1022.8","2026/02/07 22:17:00","1016.3","2026/02/07 00:01:00","13.7","15.8","2026/02/07 00:01:00","12.7","2026/02/07 16:33:00","10.8","83","70","2026/02/07 21:21:00","10.0","47","20.5","43","2026/02/07 12:39:00","T","4.4","T","2026/02/07 00:01:00","T","2026/02/07 00:01:00","0.0","0.0","2.53","25.3","3.7","1","2026/02/07 13:00:00","10.0","15.4","16.2","17.1","17.2","18.1","18.2","18.6"
"08","1026.2","1028.9","1028.3","2026/02/08 11:41:00","1022.3","2026/02/08 00:26:00","10.7","12.8","2026/02/08 00:01:00","9.6","2026/02/08 22:00:00","3.8","63","50","2026/02/08 13:13:00","10.8","45","20.9","34","2026/02/08 02:53:00","T","0.5","T","2026/02/08 03:01:00","T","2026/02/08 03:01:00","1.2","10.8","9.59","25.7","-3.6","4","2026/02/08 13:00:00","9.7","12.7","13.8","14.9","15.3","16.9","17.6","18.7"
"09","1020.8","1023.4","1025.7","2026/02/09 00:01:00","1017.9","2026/02/09 14:23:00","13.4","17.4","2026/02/09 13:46:00","10.0","2026/02/09 00:19:00","6.6","64","51","2026/02/09 13:47:00","5.4","63","17.8","47","2026/02/09 00:12:00","0.0","0.0","0.0","--","0.0","--","0.1","0.9","6.05","67.6","1.4","3","2026/02/09 14:00:00","9.7","13.1","13.4","14.2","14.5","15.9","16.8","18.5"
"10","1019.0","1021.6","1020.9","2026/02/10 06:05:00","1016.9","2026/02/10 14:55:00","16.1","21.3","2026/02/10 15:34:00","12.4","2026/02/10 01:53:00","12.0","77","46","2026/02/10 14:40:00","2.1","114","9.6","329","2026/02/10 03:23:00","T","0.1","T","2026/02/10 05:36:00","T","2026/02/10 05:36:00","10.0","89.6","18.98","33.0","1.5","6","2026/02/10 13:00:00","5.0","15.5","15.3","15.8","15.8","16.2","16.5","18.3"
